"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.9223300970873787","0.0014052036368142503","0.34219269102990035","0.5","4","5","false","-1.13560843370317","EGR3","12.75","0","4","0","0.9379893517068587","true","0","EGR3","96","0.43103448275862066"
"2.8155339805825244","0.0024146214691709435","0.35517241379310344","0.5714285714285714","7","5","false","-1.10724876063755","NPAS4","13.571428571428571","0","7","0","0.9414343877231444","true","0","NPAS4","214","0.3877551020408163"
"2.8640776699029127","9.67233691195285E-4","0.34915254237288135","0.5","4","6","false","-1.42336947850743","PCSK1","15.0","0","4","0","0.9398684622611964","true","0","PCSK1","58","0.39473684210526316"
"1.9514563106796117","0.22442267911879632","0.5124378109452736","0.2752688172043011","31","5","false","1.00614539844469","CXCL8","13.225806451612904","0","31","0","0.969307860945819","true","0","CXCL8","11694","0.16491935483870968"
"2.1844660194174756","0.07853300343339746","0.4577777777777778","0.3974358974358974","13","5","false","-1.10148937221113","PNOC","17.23076923076923","0","13","0","0.9617914187284685","true","0","PNOC","5116","0.2287179487179487"
"2.8932038834951457","8.259919235160274E-5","0.34563758389261745","0.8666666666666667","6","6","false","-1.17462982767362","NEUROD6","16.166666666666668","0","6","0","0.9389289069840275","true","0","NEUROD6","8","0.4898989898989899"
"2.3689320388349513","0.027862680466636952","0.42213114754098363","0.6761904761904762","15","5","false","1.25014436031661","PF4","16.733333333333334","0","15","0","0.955840901973066","true","0","PF4","1654","0.2777777777777778"
"2.533980582524272","0.013709126222014301","0.39463601532567044","0.5604395604395604","14","5","false","-1.04824502477808","CALB1","14.642857142857142","0","14","0","0.9505167554024428","true","0","CALB1","1008","0.28711484593837533"
"2.970873786407767","5.007905988842676E-4","0.3366013071895425","0.3333333333333333","3","5","false","-1.45628241817286","VGF","13.0","0","3","0","0.9364234262449107","true","0","VGF","44","0.48717948717948717"
"2.495145631067961","0.017935004154118788","0.40077821011673154","0.5238095238095238","7","5","false","-1.00098911412931","FLT3","16.285714285714285","0","7","0","0.9517694957720013","true","0","FLT3","1112","0.2961038961038961"
"2.4563106796116503","0.026692624742584978","0.4071146245059289","0.32142857142857145","8","5","false","-1.06366326270602","EGR1","14.625","0","8","0","0.9530222361415597","true","0","EGR1","1844","0.2521551724137931"
